feedback_id,source_type,source_name,feedback_text,created_at,customer_segment,product_area,sentiment,severity,language,data_type,metadata_origin,rating,product_name,product_price,theme,theme_origin
PUB-000001,Public Product Review,Flipkart Public Review Dataset,classy product. best quality,,Unknown,kitchen,positive,1,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",5.0,"cello Pack of 18 Opalware Cello Dazzle Lush Fiesta Opalware Dinner Set, 18 Pieces Dinner SetÃÂ ÃÂ (White, Microwave Safe)",1299,Unknown,not_available
PUB-000002,Public Product Review,Flipkart Public Review Dataset,does the job. one pipe found crack and overall not as per expectation,,Unknown,other,neutral,3,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",3.0,CMerchants Multi Organiser BLue4 Book Shelf Metal Open Book ShelfFinish Color  BLUE DIYDoItYourself,625,Unknown,not_available
PUB-000003,Public Product Review,Flipkart Public Review Dataset,does the job. look is good but suction power wont look like in product description almost 2 months back i have purchased there is problem in display panel i need to reach out to coustome care now,,Unknown,kitchen,neutral,3,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",3.0,Eurodomo Hood Indigo PRO HC SC FL BK 60 Auto Clean Wall Mounted Chimney??????(Black 1200 CMH),7599,Unknown,not_available
PUB-000004,Public Product Review,Flipkart Public Review Dataset,brilliant. value of money good product,,Unknown,other,positive,1,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",5.0,"LEADER Scout 26T SEA Blue BLACK for Ride 26 T Mountain CycleÐÓ®ÐÂ ÐÓ®ÐÂ (Single Speed, Blue, Black)",4499,Unknown,not_available
PUB-000005,Public Product Review,Flipkart Public Review Dataset,good quality product. good quality but delivery charge high,,Unknown,other,positive,2,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",4.0,"Lakm?? Eyeconic Kajal Twin Pack??????????(Deep Black, 0.7 g)",218,Unknown,not_available
PUB-000006,Public Product Review,Flipkart Public Review Dataset,pretty good. book was nice but paper quality may be improved,,Unknown,other,neutral,2,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",4.0,SSC General Awareness Book For SSC CGL CHSL CPO And Other Govt ExamsPaperback StudyIQ Publications,368,Unknown,not_available
PUB-000007,Public Product Review,Flipkart Public Review Dataset,nise products,,Unknown,other,neutral,2,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",4.0,Men Cargos,453,Unknown,not_available
PUB-000008,Public Product Review,Flipkart Public Review Dataset,terrific purchase. lightweight and has a good transfer speed,,Unknown,computing,positive,1,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",5.0,Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 2 TB External Hard Disk Drive (HDD)??????????(Light Blue),5599,Unknown,not_available
PUB-000009,Public Product Review,Flipkart Public Review Dataset,fair. please goahead fir big size not even good for single family,,Unknown,kitchen,neutral,3,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",3.0,Voltas Beko DT8B Free Standing 8 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,20990,Unknown,not_available
PUB-000010,Public Product Review,Flipkart Public Review Dataset,must buy! excellent product,,Unknown,accessories,positive,1,en,public,"{""source_type"": ""public_source"", ""source_name"": ""public_source"", ""feedback_text"": ""public_source"", ""sentiment"": ""public_source"", ""rating"": ""public_source"", ""product_name"": ""public_source"", ""product_price"": ""public_source"", ""data_type"": ""public_source"", ""product_area"": ""derived"", ""severity"": ""derived"", ""language"": ""derived"", ""customer_segment"": ""unknown"", ""created_at"": ""unknown""}",5.0,"cello ColourUp Hobby Bag of Assorted Stationery|Crayons, Sketch Pens, Oil Pastel, Gel pens, Mechanical Pencils, Clay with Kids Activity Book inside",449,Unknown,not_available
